"Broad_Bean_Origin","avg_rating","ISO","long","lat","group","order","region","subregion"
" ",2.95547945205479,NA,-61.7471160888672,17.574951171875,138,7256,"Barbuda",NA
" ",2.95547945205479,NA,-61.7620124816895,17.5486812591553,138,7257,"Barbuda",NA
" ",2.95547945205479,NA,-61.8437957763672,17.5961418151855,138,7258,"Barbuda",NA
" ",2.95547945205479,NA,-61.8687477111816,17.6854496002197,138,7259,"Barbuda",NA
" ",2.95547945205479,NA,-61.8661613464355,17.7042961120605,138,7260,"Barbuda",NA
" ",2.95547945205479,NA,-61.8524436950684,17.7140617370605,138,7261,"Barbuda",NA
" ",2.95547945205479,NA,-61.8199195861816,17.6968746185303,138,7262,"Barbuda",NA
" ",2.95547945205479,NA,-61.7767601013184,17.6904792785645,138,7263,"Barbuda",NA
" ",2.95547945205479,NA,-61.7496109008789,17.6613292694092,138,7264,"Barbuda",NA
" ",2.95547945205479,NA,-61.7471160888672,17.574951171875,138,7265,"Barbuda",NA
" ",2.95547945205479,NA,-17.887939453125,27.8095703125,500,36811,"Canary Islands","Hierro"
" ",2.95547945205479,NA,-17.9847660064697,27.6463851928711,500,36812,"Canary Islands","Hierro"
" ",2.95547945205479,NA,-18.1065921783447,27.7074699401855,500,36813,"Canary Islands","Hierro"
" ",2.95547945205479,NA,-18.1359367370605,27.7279300689697,500,36814,"Canary Islands","Hierro"
" ",2.95547945205479,NA,-18.1605472564697,27.761474609375,500,36815,"Canary Islands","Hierro"
" ",2.95547945205479,NA,-18.0433597564697,27.7681159973145,500,36816,"Canary Islands","Hierro"
" ",2.95547945205479,NA,-17.9245109558105,27.8501453399658,500,36817,"Canary Islands","Hierro"
" ",2.95547945205479,NA,-17.887939453125,27.8095703125,500,36818,"Canary Islands","Hierro"
" ",2.95547945205479,NA,-15.4005861282349,28.1473636627197,501,36820,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.4066905975342,28.0705089569092,501,36821,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.3831539154053,27.9928207397461,501,36822,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.3891611099243,27.8747062683105,501,36823,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.436767578125,27.8106937408447,501,36824,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.5593738555908,27.7469730377197,501,36825,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.65576171875,27.7583999633789,501,36826,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.7103023529053,27.7840824127197,501,36827,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.8073234558105,27.8875503540039,501,36828,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.8094730377197,27.9944839477539,501,36829,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.720947265625,28.0641593933105,501,36830,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.6827630996704,28.154052734375,501,36831,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.4527835845947,28.1369152069092,501,36832,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.4327154159546,28.1542472839355,501,36833,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.4154787063599,28.1593265533447,501,36834,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-15.4005861282349,28.1473636627197,501,36835,"Canary Islands","Gran Canaria"
" ",2.95547945205479,NA,-17.1846694946289,28.02197265625,502,36837,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.2253913879395,28.0135250091553,502,36838,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.27392578125,28.0382823944092,502,36839,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.3249034881592,28.11767578125,502,36840,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.2903327941895,28.1763172149658,502,36841,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.2585945129395,28.2031745910645,502,36842,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.21435546875,28.1992683410645,502,36843,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.129638671875,28.1559581756592,502,36844,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.103759765625,28.1111316680908,502,36845,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.10107421875,28.0834484100342,502,36846,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-17.1846694946289,28.02197265625,502,36847,"Canary Islands","Gomera"
" ",2.95547945205479,NA,-16.33447265625,28.3799304962158,503,36849,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.418212890625,28.1514148712158,503,36850,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.4962406158447,28.0619144439697,503,36851,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.5427722930908,28.0320796966553,503,36852,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.6580085754395,28.0071792602539,503,36853,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.7947273254395,28.149169921875,503,36854,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.8660144805908,28.2932605743408,503,36855,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.9053230285645,28.339599609375,503,36856,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.8430652618408,28.3761234283447,503,36857,"Canary Islands","Tenerife"
" ",2.95547945205479,NA,-16.7520503997803,28.3698234558105,503,36858,"Canary Islands","Tenerife"
